tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N276AA,AIRBUS,A330-323,A330-300,2001.0,2005.0,P & W,PW4168A,AA
N287AA,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N283AA,AIRBUS,A330-243,A330-200,2009.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N280AA,AIRBUS,A330-243,A330-200,2009.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N292AA,AIRBUS,A330-243,A330-200,2014.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N290AA,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N278AA,AIRBUS,A330-323,A330-300,2001.0,2015.0,P & W,PW4168A,AA
N273AA,AIRBUS,A330-323,A330-300,2000.0,2007.0,P & W,PW4168A,AA
N952AA,EMBRAER,ERJ 190-100 IGW,E190,2007.0,2015.0,GE,CF34-10E,AA
N956AA,EMBRAER,ERJ 190-100 IGW,E190,2008.0,2015.0,GE,CF34-10E,AA
N281AA,AIRBUS,A330-243,A330-200,2009.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N291AA,AIRBUS,A330-243,A330-200,2014.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N289AA,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N8LAAA,BOEING,787-9,787-9,2016.0,2016.0,GE,GENX-1B74/75/,AA
N8LBAA,BOEING,787-9,787-9,2016.0,2016.0,GE,GENX-1B74/75/,AA
N3NYAA,BOEING,737-823,737-800,2016.0,2016.0,CFM INTL,CFM56-7B,AA
N995AA,AIRBUS,A321-231,A321,2016.0,2016.0,IAE,V2533-A5,AA
N658AA,AIRBUS,A320-232,A320,1999.0,2013.0,IAE,V2527-A5,AA
N105AA,AIRBUS,A320-214,A320,1999.0,1999.0,CFM INTL,CFM56-5B,AA
N207AA,BOEING,757-28A,757-200,2001.0,2015.0,ROLLS-ROYC,RB211-535E4,AA
N272AA,AIRBUS,A330-323,A330-300,2000.0,2007.0,P & W,PW4168A,AA
N288AA,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N277AA,AIRBUS,A330-323,A330-300,2001.0,2015.0,P & W,PW4168A,AA
N275AA,AIRBUS,A330-323,A330-300,2000.0,2005.0,P & W,PW4168A,AA
N270AA,AIRBUS,A330-323,A330-300,2000.0,2015.0,P & W,PW4168A,AA
N996AA,AIRBUS,A321-231,A321,2016.0,2016.0,IAE,V2533-A5,AA
N3PBAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PAAA,BOEING,737-823,737-800,2016.0,2016.0,CFM INTL,CFM56-7B,AA
N3PCAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N998AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N929AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N3PDAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N997AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N931AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N8LFAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8AUAA,BOEING,787-8,787-8,2017.0,2017.0,GE,GENX-1B70,AA
N8LDAA,BOEING,787-9,787-9,2016.0,2016.0,GE,GENX-1B74/75/,AA
N3PPAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PRAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PTAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PHAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N905AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N934AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N3PMAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PSAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PFAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PNAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N901AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N930AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N903AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N907AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N928AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N900AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N909AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
