tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N503NK,AIRBUS,A319-132,A319,2005.0,2018.0,IAE,V2524-A5,NK
N625NK,AIRBUS,A320-232,A320,2014.0,2018.0,IAE,V2527-A5,NK
N604NK,AIRBUS,A320-232,A320,2010.0,2010.0,IAE,V2527-A5,NK
N468CA,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,OO
N443SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2018.0,GE,CF34-3,OO
N918SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2018.0,GE,CF34-3,OO
N679SA,BOMBARDIER INC,CL-600-2B19,CL-600,2009.0,2017.0,GE,CF34-3,OO
N915SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2018.0,GE,CF34-3,OO
N930EV,BOMBARDIER INC,CL-600-2B19,CL-600,2005.0,2014.0,GE,CF34-3,OO
N417SW,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2000.0,GE,CF34-3,OO
N917SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2018.0,GE,CF34-3,OO
N613QX,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,OO
