tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier,number_of_seats
N489HA,BOEING,717-200,717-200,1998.0,2011.0,ROLLS-ROYC,BR700-715,HA,128.0
N488HA,BOEING,717-200,717-200,1998.0,2011.0,ROLLS-ROYC,BR700-715,HA,128.0
N475HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA,128.0
N483HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA,128.0
N615NK,AIRBUS,A320-232,A320,2012.0,2012.0,IAE,V2527-A5,NK,178.0
N639NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,178.0
N627NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N622NK,AIRBUS,A320-232,A320,2013.0,2016.0,IAE,V2527-A5,NK,178.0
N636NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,178.0
N642NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,182.0
N617NK,AIRBUS,A320-232,A320,2012.0,2015.0,IAE,V2527-A5,NK,178.0
N614NK,AIRBUS,A320-232,A320,2012.0,2016.0,IAE,V2527-A5,NK,178.0
N608NK,AIRBUS,A320-232,A320,2011.0,2011.0,IAE,V2527-A5,NK,178.0
N607NK,AIRBUS,A320-232,A320,2011.0,2011.0,IAE,V2527-A5,NK,178.0
N628NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N630NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N624NK,AIRBUS,A320-232,A320,2013.0,2016.0,IAE,V2527-A5,NK,178.0
N634NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N612NK,AIRBUS,A320-232,A320,2012.0,2015.0,IAE,V2527-A5,NK,178.0
N633NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N623NK,AIRBUS,A320-232,A320,2013.0,2016.0,IAE,V2527-A5,NK,178.0
N632NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N618NK,AIRBUS,A320-232,A320,2013.0,2015.0,IAE,V2527-A5,NK,178.0
N603NK,AIRBUS,A320-232,A320,2010.0,2010.0,IAE,V2527-A5,NK,178.0
N635NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N643NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,182.0
N626NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N640NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,178.0
N620NK,AIRBUS,A320-232,A320,2013.0,2016.0,IAE,V2527-A5,NK,178.0
N609NK,AIRBUS,A320-232,A320,2011.0,2015.0,IAE,V2527-A5,NK,178.0
N613NK,AIRBUS,A320-232,A320,2012.0,2014.0,IAE,V2527-A5,NK,178.0
N621NK,AIRBUS,A320-232,A320,2013.0,2016.0,IAE,V2527-A5,NK,178.0
N638NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,178.0
N516NK,AIRBUS,A319-132,A319,2006.0,2018.0,IAE,V2524-A5,NK,145.0
N521NK,AIRBUS,A319-132,A319,2006.0,2016.0,IAE,V2524-A5,NK,145.0
N525NK,AIRBUS,A319-132,A319,2006.0,2016.0,IAE,V2524-A5,NK,145.0
N515NK,AIRBUS,A319-132,A319,2006.0,2016.0,IAE,V2524-A5,NK,145.0
N507NK,AIRBUS,A319-132,A319,2005.0,2005.0,IAE,V2524-A5,NK,145.0
N528NK,AIRBUS,A319-132,A319,2007.0,2017.0,IAE,V2524-A5,NK,145.0
N508NK,AIRBUS,A319-132,A319,2005.0,2016.0,IAE,V2524-A5,NK,145.0
N514NK,AIRBUS,A319-132,A319,2006.0,2018.0,IAE,V2524-A5,NK,145.0
N529NK,AIRBUS,A319-132,A319,2007.0,2018.0,IAE,V2524-A5,NK,145.0
N531NK,AIRBUS,A319-132,A319,2007.0,2018.0,IAE,V2524-A5,NK,145.0
N522NK,AIRBUS,A319-132,A319,2006.0,2017.0,IAE,V2524-A5,NK,145.0
N526NK,AIRBUS,A319-132,A319,2006.0,2012.0,IAE,V2524-A5,NK,145.0
N510NK,AIRBUS,A319-132,A319,2005.0,2016.0,IAE,V2524-A5,NK,145.0
N506NK,AIRBUS,A319-132,A319,2005.0,2018.0,IAE,V2524-A5,NK,145.0
N530NK,AIRBUS,A319-132,A319,2007.0,2018.0,IAE,V2524-A5,NK,145.0
N519NK,AIRBUS,A319-132,A319,2006.0,2016.0,IAE,V2524-A5,NK,145.0
N517NK,AIRBUS,A319-132,A319,2006.0,2018.0,IAE,V2524-A5,NK,145.0
N532NK,AIRBUS,A319-132,A319,2007.0,2018.0,IAE,V2524-A5,NK,145.0
N523NK,AIRBUS,A319-132,A319,2006.0,2017.0,IAE,V2524-A5,NK,145.0
N509NK,AIRBUS,A319-132,A319,2005.0,2016.0,IAE,V2524-A5,NK,145.0
N505NK,AIRBUS,A319-132,A319,2005.0,2018.0,IAE,V2524-A5,NK,145.0
N534NK,AIRBUS,A319-132,A319,2008.0,2013.0,IAE,V2524-A5,NK,145.0
N512NK,AIRBUS,A319-132,A319,2006.0,2018.0,IAE,V2524-A5,NK,145.0
N504NK,AIRBUS,A319-132,A319,2005.0,2018.0,IAE,V2524-A5,NK,145.0
N502NK,AIRBUS,A319-132,A319,2005.0,2018.0,IAE,V2524-A5,NK,145.0
N533NK,AIRBUS,A319-132,A319,2008.0,2013.0,IAE,V2524-A5,NK,145.0
N524NK,AIRBUS,A319-132,A319,2006.0,2018.0,IAE,V2524-A5,NK,145.0
N527NK,AIRBUS,A319-132,A319,2007.0,2018.0,IAE,V2524-A5,NK,145.0
N616NK,AIRBUS,A320-232,A320,2012.0,2015.0,IAE,V2527-A5,NK,178.0
N637NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,178.0
N641NK,AIRBUS,A320-232,A320,2015.0,2015.0,IAE,V2527-A5,NK,182.0
N606NK,AIRBUS,A320-232,A320,2011.0,2013.0,IAE,V2527-A5,NK,178.0
N605NK,AIRBUS,A320-232,A320,2011.0,2016.0,IAE,V2527-A5,NK,178.0
N601NK,AIRBUS,A320-232,A320,2010.0,2010.0,IAE,V2527-A5,NK,178.0
N602NK,AIRBUS,A320-232,A320,2010.0,2010.0,IAE,V2527-A5,NK,178.0
N631NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N611NK,AIRBUS,A320-232,A320,2012.0,2012.0,IAE,V2527-A5,NK,178.0
N619NK,AIRBUS,A320-232,A320,2013.0,2016.0,IAE,V2527-A5,NK,178.0
N629NK,AIRBUS,A320-232,A320,2014.0,2014.0,IAE,V2527-A5,NK,178.0
N588NK,AIRBUS,A321-231,A321,2005.0,2013.0,IAE,V2533-A5,NK,228.0
N661NK,AIRBUS,A321-231,A321,2015.0,2015.0,IAE,V2533-A5,NK,228.0
N657NK,AIRBUS,A321-231,A321,2015.0,2015.0,IAE,V2533-A5,NK,228.0
N662NK,AIRBUS,A321-231,A321,2015.0,2015.0,IAE,V2533-A5,NK,228.0
N658NK,AIRBUS,A321-231,A321,2015.0,2015.0,IAE,V2533-A5,NK,228.0
N659NK,AIRBUS,A321-231,A321,2015.0,2015.0,IAE,V2533-A5,NK,228.0
N660NK,AIRBUS,A321-231,A321,2015.0,2015.0,IAE,V2533-A5,NK,228.0
N587NK,AIRBUS,A321-231,A321,2005.0,2013.0,IAE,V2533-A5,NK,228.0
N862AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N423SW,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2000.0,GE,CF34-3,OO,50.0
N955SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N652BR,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,OO,50.0
N864AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N906SW,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N869AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N863AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
