tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier,number_of_seats
N864DA,BOEING,777-232ER,777-200ER,1999.0,1999.0,ROLLS-ROYC,TRENT 895,DL,291.0
N185DN,BOEING,767-332ER,767-300ER,1995.0,1995.0,P & W,PW4060,DL,211.0
N844MH,BOEING,767-432ER,767-400ER,2002.0,2002.0,GE,CF6-80C2,DL,246.0
N902DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1994.0,1995.0,IAE,V2528-D5,DL,158.0
N592JB,AIRBUS,A320-232,A320,2004.0,2004.0,IAE,V2527-A5,B6,150.0
N623JB,AIRBUS,A320-232,A320,2005.0,2005.0,IAE,V2527-A5,B6,150.0
N333NW,AIRBUS,A320-211,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N182DN,BOEING,767-332ER,767-300ER,1992.0,2017.0,P & W,PW4060,DL,211.0
N320NB,AIRBUS,A319-114,A319,2000.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N175DN,BOEING,767-332ER,767-300ER,1990.0,1990.0,P & W,PW4060,DL,211.0
N1605,BOEING,767-332ER,767-300ER,1999.0,1999.0,GE,CF6-80C2,DL,211.0
N805NW,AIRBUS,A330-323,A330-300,2003.0,2009.0,P & W,PW4168A,DL,293.0
N953AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL,110.0
N877AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV,50.0
N879AS,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV,50.0
N901EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV,50.0
N902EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV,50.0
N884AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV,50.0
N903EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV,50.0
N880AS,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV,50.0
N876AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV,50.0
N905EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV,50.0
N629AE,EMBRAER,EMB-145LR,ERJ145,1999.0,2011.0,ROLLS-ROYC,AE3007A,EV,50.0
N909EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV,50.0
