tail_num,mfr_name,model,year,cert_year,eng_mfr_name,eng_model,aircraft_type,carrier
N624VA,AIRBUS,A320-214,2006.0,2006.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N837VA,AIRBUS,A320-214,2011.0,2011.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N629VA,AIRBUS,A320-214,2007.0,2008.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N361VA,AIRBUS,A320-214,2013.0,2013.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N638VA,AIRBUS,A320-214,2008.0,2016.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N634VA,AIRBUS,A320-214,2008.0,2008.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N639VA,AIRBUS,A320-214,2007.0,2010.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N625VA,AIRBUS,A320-214,2006.0,2006.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N621VA,AIRBUS,A320-214,2006.0,2006.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N633VA,AIRBUS,A320-214,2007.0,2007.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N623VA,AIRBUS,A320-214,2006.0,2008.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N637VA,AIRBUS,A320-214,2008.0,2008.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N853VA,AIRBUS,A320-214,2012.0,2015.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N281VA,AIRBUS,A320-214,2015.0,2018.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N632VA,AIRBUS,A320-214,2007.0,2007.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N525VA,AIRBUS,A319-112,2007.0,2007.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N522VA,AIRBUS,A319-112,2006.0,2006.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N528VA,AIRBUS,A319-112,2008.0,2008.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N529VA,AIRBUS,A319-112,2008.0,2010.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N530VA,AIRBUS,A319-112,2008.0,2010.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N527VA,AIRBUS,A319-112,2008.0,2008.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N282VA,AIRBUS,A320-214,2015.0,2018.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N628VA,AIRBUS,A320-214,2007.0,2007.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N769UA,BOEING,777-222,1995.0,2013.0,P & W,PW4077,Fixed Wing Multi-Engine,UA
N285VA,AIRBUS,A320-214,2015.0,2018.0,CFM INTL,CFM56-5B,Fixed Wing Multi-Engine,VX
N7728D,BOEING,737-7BD,2006.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N687SW,BOEING,737-3Q8,1986.0,2015.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N8659D,BOEING,737-8H4,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N250WN,BOEING,737-7H4,2006.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N263WN,BOEING,737-7H4,2007.0,2007.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N466WN,BOEING,737-7H4,2004.0,2010.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N457WN,BOEING,737-7H4,2004.0,2004.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N8306H,BOEING,737-8H4,2012.0,2012.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N365SW,BOEING,737-3H4,1993.0,2004.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N608SW,BOEING,737-3H4,1995.0,2018.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N8615E,BOEING,737-8H4,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N654SW,BOEING,737-3H4,1997.0,2018.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N387SW,BOEING,737-3H4,1994.0,2018.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N627SW,BOEING,737-3H4,1996.0,2010.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N446WN,BOEING,737-7H4,2003.0,2003.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N7834A,BOEING,737-752,2004.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N419WN,BOEING,737-7H4,2001.0,2002.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N420WN,BOEING,737-7H4,2001.0,2002.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N460WN,BOEING,737-7H4,2004.0,2004.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N8656B,BOEING,737-8H4,2014.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N445WN,BOEING,737-7H4,2003.0,2004.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N233LV,BOEING,737-7H4,2006.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N963WN,BOEING,737-7H4,2011.0,2011.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N628SW,BOEING,737-3H4,1996.0,2018.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N637SW,BOEING,737-3H4,1996.0,2018.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N465WN,BOEING,737-7H4,2004.0,2004.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N289CT,BOEING,737-7H4,2007.0,2007.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N785SW,BOEING,737-7H4,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N737JW,BOEING,737-7H4,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N227WN,BOEING,737-7H4,2005.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N406WN,BOEING,737-7H4,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N8305E,BOEING,737-8H4,2012.0,2012.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N8644C,BOEING,737-8H4,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N958WN,BOEING,737-7H4,2011.0,2011.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N438WN,BOEING,737-7H4,2003.0,2003.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N353SW,BOEING,737-3H4,1990.0,1990.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N463WN,BOEING,737-7H4,2004.0,2004.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N787SA,BOEING,737-7H4,2000.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N221WN,BOEING,737-7H4,2005.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N208WN,BOEING,737-7H4,2005.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N461WN,BOEING,737-7H4,2004.0,2004.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N7745A,BOEING,737-7BD,2007.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N764SW,BOEING,737-7H4,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N7826B,BOEING,737-79P,2003.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N491WN,BOEING,737-7H4,2004.0,2004.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N638SW,BOEING,737-3H4,1996.0,,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N391SW,BOEING,737-3H4,1994.0,2018.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N658SW,BOEING,737-3L9,1985.0,1998.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N215WN,BOEING,737-7H4,2005.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N210WN,BOEING,737-7H4,2005.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N206WN,BOEING,737-7H4,2005.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N360SW,BOEING,737-3H4,1992.0,2017.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N641SW,BOEING,737-3H4,1996.0,2018.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N260WN,BOEING,737-7H4,2006.0,2007.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N7731A,BOEING,737-76N,2006.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N282WN,BOEING,737-7H4,2007.0,2007.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N284WN,BOEING,737-7H4,2007.0,2007.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N754SW,BOEING,737-7H4,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N8663A,BOEING,737-8H4,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N7706A,BOEING,737-76N,2004.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N259WN,BOEING,737-7H4,2006.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N739GB,BOEING,737-7H4,1998.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N202WN,BOEING,737-7H4,2005.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N295WN,BOEING,737-7H4,2007.0,2007.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N428WN,BOEING,737-7H4,2002.0,2002.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N410WN,BOEING,737-7H4,2001.0,2002.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N7737E,BOEING,737-7BD,2006.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N7701B,BOEING,737-76N,2004.0,2016.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N706SW,BOEING,737-7H4,1998.0,1998.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N291WN,BOEING,737-7H4,2007.0,2007.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N961WN,BOEING,737-7H4,2011.0,2011.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N248WN,BOEING,737-7H4,2006.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N933WN,BOEING,737-7H4,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N340LV,BOEING,737-3K2,1987.0,2003.0,CFM INTL,CFM56-3,Fixed Wing Multi-Engine,WN
N426WN,BOEING,737-7H4,2002.0,2002.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N498WN,BOEING,737-7H4,2005.0,2005.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N910WN,BOEING,737-7H4,2008.0,2008.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N763SW,BOEING,737-7H4,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N940WN,BOEING,737-7H4,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N930WN,BOEING,737-7H4,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N225WN,BOEING,737-7H4,2005.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N553WN,BOEING,737-7BX,2002.0,2016.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N734SA,BOEING,737-7H4,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
N241WN,BOEING,737-7H4,2006.0,2006.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,WN
