tail_num,mfr_name,model,year,cert_year,eng_mfr_name,eng_model,aircraft_type,carrier
N57863,BOEING,757-33N,2001.0,2001.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N848UA,AIRBUS,A319-131,2002.0,2013.0,IAE,V2522-A5,Fixed Wing Multi-Engine,UA
N75858,BOEING,757-324,2004.0,2004.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N62892,BOEING,737-924ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N78509,BOEING,737-824,2008.0,2008.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N458UA,AIRBUS,A320-232,2000.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N77510,BOEING,737-824,2008.0,2008.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N68802,BOEING,737-924ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N36280,BOEING,737-824,2003.0,2003.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N597UA,BOEING,757-222,1998.0,2013.0,P & W,PW2040,Fixed Wing Multi-Engine,UA
